1401130781321045212_3409364414,3409364414,laa.cataleyaa,1481247826,10,0
1400419706812246589_3409364414,3409364414,laa.cataleyaa,1481163060,18,0
1399640714719153383_3409364414,3409364414,laa.cataleyaa,1481070196,17,2
1398960525211123560_3409364414,3409364414,laa.cataleyaa,1480989112,12,2
1398782295963521262_3409364414,3409364414,laa.cataleyaa,1480967865,8,0
1398737206683790865_3409364414,3409364414,laa.cataleyaa,1480962490,39,1
1398309891151519771_3409364414,3409364414,laa.cataleyaa,1480911550,23,0
1394658840083069201_3409364414,3409364414,laa.cataleyaa,1480476311,15,2
1394262619879228544_3409364414,3409364414,laa.cataleyaa,1480429078,17,0
1393776344638187714_3409364414,3409364414,laa.cataleyaa,1480371109,43,0
1392971667508255665_3409364414,3409364414,laa.cataleyaa,1480275184,35,0
1392910207205660037_3409364414,3409364414,laa.cataleyaa,1480267857,12,0
1391820071868870570_3409364414,3409364414,laa.cataleyaa,1480137903,21,0
1391705107204399847_3409364414,3409364414,laa.cataleyaa,1480124198,35,0
1391007076368655712_3409364414,3409364414,laa.cataleyaa,1480040987,28,0
1389909521022903119_3409364414,3409364414,laa.cataleyaa,1479910148,14,0
1388843841288898537_3409364414,3409364414,laa.cataleyaa,1479783109,11,1
1386691823270969626_3409364414,3409364414,laa.cataleyaa,1479526568,8,0
1402254950381414854_333657708,333657708,memo.lg,1481381838,32,1
1397565284927557331_333657708,333657708,memo.lg,1480822786,188,1
1393977562421891976_333657708,333657708,memo.lg,1480395096,139,7
1392378963036622371_333657708,333657708,memo.lg,1480204528,111,4
1391116726691000734_333657708,333657708,memo.lg,1480054058,116,2
1390130381436930604_333657708,333657708,memo.lg,1479936476,156,1
1389554370756375636_333657708,333657708,memo.lg,1479867811,67,2
1387949450731163351_333657708,333657708,memo.lg,1479676489,107,2
1387318401915369634_333657708,333657708,memo.lg,1479601262,110,2
1386539960450218323_333657708,333657708,memo.lg,1479508465,167,1
1385278580631953514_333657708,333657708,memo.lg,1479358097,171,3
1384994116441756308_333657708,333657708,memo.lg,1479324186,157,1
1383167460987110013_333657708,333657708,memo.lg,1479106432,174,2
1383023899130135577_333657708,333657708,memo.lg,1479089318,124,1
1382390451029779010_333657708,333657708,memo.lg,1479013805,118,1
1381708158900402652_333657708,333657708,memo.lg,1478932469,170,1
1381260774152151946_333657708,333657708,memo.lg,1478879137,96,1
1380930839218849731_333657708,333657708,memo.lg,1478839805,140,1
1401000736346815797_362719292,362719292,maisjesuisuneartiste,1481232324,87,3
1399192631485047176_362719292,362719292,maisjesuisuneartiste,1481016781,97,0
1397988281802627748_362719292,362719292,maisjesuisuneartiste,1480873211,75,7
1397806545219207217_362719292,362719292,maisjesuisuneartiste,1480851546,51,0
1397338573669262562_362719292,362719292,maisjesuisuneartiste,1480795760,72,0
